codproc,nome,sexo,idade_min,idade_max,vlr_sp,qtde_maxima,ptos_ato,dias_permanencia,complexidade,co_financiamento
202030202,DOSAGEM DE PROTEINA C REATIVA,I,0,130,0,9999,0,9999,2,6
204010055,RADIOGRAFIA DE ARTICULACAO TEMPORO-MANDIBULAR BILATERAL,I,0,130,0,9999,0,9999,2,6
211080055,ESPIROMETRIA OU PROVA DE FUNCAO PULMONAR COMPLETA COM BRONCODILATADOR,I,0,130,0,9999,0,9999,2,6
303050110,TRATAMENTO OFTALMOLÓGICO DE PACIENTE COM GLAUCOMA COM DISPENSAÇÃO DE PILOCARPINA BINOCULAR,I,0,130,0,1,0,9999,2,6
305010174,TRATAMENTO DE INTERCORRENCIA EM PACIENTE RENAL CRONICO SOB TRATAMENTO DIALITICO ( POR DIA),I,0,130,11,34,30,80,9999,2,6
405030053,INJECAO INTRA-VITREO,I,0,130,0,2,0,9999,2,6
407030026,COLECISTECTOMIA,I,2,130,248,61,1,200,3,2,6
408050543,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,I,0,130,202,95,2,300,4,2,6
413010023,ATENDIMENTO DE URGÊNCIA EM PEQUENO QUEIMADO,I,0,130,0,9999,0,9999,1,1
506010015,ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE CORNEA,I,0,130,0,1,0,9999,2,4
701030119,APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO MICROCANAL TIPO C,N,9999,9999,0,2,0,9999,0,6
701030224,REPOSIÇÃO DE AASI EXTERNO INTRA-CANAL TIPO B,N,9999,9999,0,2,0,9999,0,6
701070021,APARELHO ORTOPÉDICO E ORTODÔNTICO REMOVÍVEL,I,5,130,0,2,0,9999,0,6
701070145,PROTESES CORONARIAS / INTRA-RADICULARES FIXAS / ADESIVAS (POR ELEMENTO) ,N,9999,9999,0,32,0,9999,0,6
701080019,APARELHO ORTODONTICO EM ANOMALIAS CRANIO-FACIAIS,I,0,0,0,1,0,9999,0,6
701080094,PRÓTESE REMOVÍVEL EM PACIENTES COM ANOMALIAS CRÂNIO E BUCOMAXILOFACIAL,I,15,130,0,2,0,9999,0,6
701090065,SUBSTITUIÇÃO DE PÉ DE ADAPTAÇÃO DINÂMICA.,N,9999,9999,0,1,0,9999,0,6
701100028,MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS (MEIA ATE VIRILHA OU JOELHO),N,9999,9999,0,3,0,9999,0,6
702010162,INTRODUTOR 6FA 8F ,I,9999,9999,0,1,0,9999,0,6
